11;10;12;приказ президента;"Татьяна Артуровна! Есть ли описание к доступным пунктам меню для роли? И еще вопрос: какая аутентификация? Напрямую или через СУДИР? ";31.07.2018;2:07:14
12;3;19;111;"Добрый день.  Я правильно понимаю, что вам нужна выгрузка для понимания объема проводимого в дальнейшем ограничения доступа по АС Электронный архив?! Могу вас расстроить, но данная выгрузка технически невозможна.   Попробую объяснить. АС Электронный архив имеет внутреннюю авторизацию, не привязанную к AD, Sudir и тд.  Внутри системы не ведется аудит.  ";25.09.2018;10:15:58
13;1;17;re: тема;"Сева, привет.   Тут мы поТКСились и решили коллегам дать доступ к DEV-стенду нашего ККАФ - Агаркову Михаилу.   Сделай, плз, ему учетку. И пришли еще адреса для Hue, и куда ему MobixTerm-ом коннектиться. Учетке нужны права как у разработчиков.   Спасибо.          ";03.10.2018;7:47:50
14;9;18;без темы;"Добрый день. По СУБД можно получить только аудит пользователей СУБД (УЗ БД).  В табличке – доменные логины и ФИО, группы доступа.  Без какого-то соответствия требуемая выгрузка невозможна. ";19.08.2018;18:00:27
15;8;17;срочно;"Артем Константинович, добрый день. Информацию по доступам мы уже получили, спасибо!  Нужна как раз выгрузка аудита – события успешного входа, блокировки учетной записи, предоставление прав доступ – если аудит по таким событиям ведется.  Список логинов во вложении. ";18.01.2018;13:16:45
16;7;13;без темы;"Коллеги, спасибо за обратную связь.  Александр Юрьевич, мы можем в формате ТКС более детально обсудить, какая информация есть в WAY4 по пользователям? У нас есть список требуемых пользователей с фио и табельными номерами, возможно получится сделать выгрузку на основе этих данных?  К кому можно обратиться за выгрузкой audit_loge на уровне СУБД? Спасибо! ";15.04.2018;5:34:59
17;5;19;приказ президента;"Артем Константинович, добрый день. Информацию по доступам мы уже получили, спасибо!  Нужна как раз выгрузка аудита – события успешного входа, блокировки учетной записи, предоставление прав доступ – если аудит по таким событиям ведется.  Список логинов во вложении. ";07.04.2018;21:04:22
18;1;12;111;"Анна, добрый день.  Мы ничего не можем выгрузить по доступам в АС. Мы администрируем СУБД и можем предоставить аудит (который включен) только по СУБД. Для этого вам совместно с администраторами АС необходимо предоставить нам логины пользователей в СУБД. Вообще прикладных пользователей, т.е. пользователей из вашего списка сопровождают администраторы АС. Но аудит при возможности мы предоставим конечно. ";31.03.2018;18:22:45
19;8;16;re: тема;"Коллеги, добрый день. Не сразу обратил вынимание на письмо, т.к. я в копии Информация об отсутствиях в ЕАСУП конечно есть, каким образом ее вам лучше передавать: использовать одну из существующих выгрузок или разработать новую - думаю вам лучше обсудить с Кириллом.  С уважением, Андрей Корытов ";22.08.2018;6:21:27
20;10;12;без темы;"Коллеги, еще раз благодарю за ТКС. Пришлите, пожалуйста, контакты коллег, у которых есть роль аудитора в Систему. Попытались заполнить шаблон заявки в Друге, но там очень много полей, с кем можно проконсультироваться, как правильно заполнить заявку, что бы получить доступ к сотрудникам из списка?  Спасибо! ";07.03.2018;2:53:51
21;5;17;срочно;"Добрый день!  Из перечисленного ниже в зоне ответственности моего подразделения: ЕКС и Аналитика. Какие конкретно данные нужно выгрузить и указанных АС? Это какая-то разовая выгрузка?  С уважением, Иванкина Светлана ";03.03.2018;4:28:28
22;1;14;без темы;"Светлана, добрый день!  В рамках пилота по созданию Системы-комплаенс контроля доступа к АС Банка, нам требуются выгрузки некоторых данных из АС, перечисленных ниже.  Предварительный шаблон выгрузок мы продумали, с кем нам лучше обсудить эту задачу по каждой АС, напрямую с Аналитиками и Администраторами, или централизованно через Вас?  У нас есть некоторые контакты Аналитиков и Администраторов АС, могли бы Вы их дополнить или актуализировать?  Спасибо! ";12.01.2019;12:56:39
23;8;14;приказ президента;"Добрый день, Елена. В первую очередь интересна ваша консультация по взаимодействию в  части открытия-закрытия доступов систем SAP_HR , SM, СУДИР и множества АС.  Мы хотим понять где какая информация о людях, доступах и системах рождается, каков ее путь, где в итоге она хранится и  как её можно забрать.   Сергей возможно дополнит меня. ";14.05.2018;5:04:58
24;10;13;111;"Сергей, добрый день. У нас в SAP HR действительно хранится большое кол-во информации по сотрудникам. Нужно понять что именно вас интересует, чтобы сузить объем рассматриваемых видов  перс.данных. Давайте обсудим по телефону, мой номер в подписи.  С уважением, Андрей Корытов вн.: 8-789-85749 ";23.01.2018;20:21:40
25;7;13;re: тема;"Андрей, приветствую, По приказу ГОГ, Департамент Безопасности открыл проект «Система комплаенс-контроля ролевых моделей и доступа к АС и информационным ресурсам Банка». В рамках реализации проекта планируется интеграция с SAP HR. Через знакомых удалось выяснить, что Вы гуру по структуре данных по сотрудникам. Можете нас проконсультировать с точки зрения, какие атрибуты есть по сотрудникам, чтобы понимать, что тянуть нам для проведения идентификации УЗ сотрудников с неполными данными. Можем по ТКС созвониться в пятницу 28.09.18? Спасибо. ";06.11.2018;1:34:05
26;4;17;без темы;"Андрей, приветствую, По приказу ГОГ, Департамент Безопасности открыл проект «Система комплаенс-контроля ролевых моделей и доступа к АС и информационным ресурсам Банка». В рамках реализации проекта планируется интеграция с SAP HR. Через знакомых удалось выяснить, что Вы гуру по структуре данных по сотрудникам. Можете нас проконсультировать с точки зрения, какие атрибуты есть по сотрудникам, чтобы понимать, что тянуть нам для проведения идентификации УЗ сотрудников с неполными данными. Можем по ТКС созвониться в пятницу 28.09.18? Спасибо. ";10.09.2018;1:48:58
27;3;17;срочно;"Аня привет!  Я в данном случае могу согласовать принцип распределения ресурсов по задачам СКК. Так как задачами развития функционала на АС ККАФ выполняется под руководством М. Кузьменкова (ответственный за развитие АС ККАФ). Аллокацию ресурсов прошу запрашивать у Алексея Забудько. Текущий пул ресурсов не может быть задействовать, используется в рамках других проектов.  ";14.02.2018;18:34:42
28;8;19;без темы;"Сергей, доброе утро.  На все комментарии, которые поступили в конфлюенс, дала ответ, либо внесла правки в требования. Прошу провалидировать требования в конфлюенс. От конфлюенс должно было прийти автоматическое письмо со ссылкой на согласование каждой Фичи. Всего 4 Фичи/Бизнес-требования + 1 Требование к СКК (нефункциональные требования).  Всё еще есть необходимость ТКС с Ивановым по поводу erpm? Если да, то какая цель ТКС? Что там планируется обсудить?  Спасибо. ";27.04.2018;8:44:35
29;10;16;приказ президента;"Коллеги, добрый день. Проконсультируйте, пожалуйста. Если в выгрузке нет сотрудника, это означает, что для него нет карточки в СУДИР? Или нам нужно дополнительно запросить по списку сотрудников карточки СУДИР без привязки к АС?  Спасибо. ";21.06.2018;19:58:45
30;5;20;111;"Доброе утро! Коллеги, необходимо мне разобраться с некоторыми моментами. 1. Скажите АС Back Office и АС ЭА то разные АС? Если да, то как они между собой связаны? 2. Вы направляли выгрузку по АС Back Office это выгрузка по каким ФП? 3. По логам событий для обеих АС они есть? У кого можно запросить. Спасибо ";03.12.2018;6:41:35
